comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
1. You are a worthless waste of space.,1,1,1,0,1,0
2. I hope you suffer every day of your pathetic existence.,1,1,1,0,1,0
"3. You are a vile, disgusting excuse for a human being.",1,1,0,0,1,0
"4. Go crawl back into the hole you came from, you despicable creature.",1,1,1,0,1,0
5. I wish you nothing but misery and pain for the rest of your life.,1,1,0,0,1,0
"1. ""You are an absolute waste of space and oxygen.""",1,1,1,0,1,0
"2. ""I hope you fail at everything you do in life.""",1,1,1,0,1,0
"3. ""You are a pathetic excuse for a human being.""",1,1,0,0,1,0
"4. ""I wish you would just disappear from existence.""",1,1,0,0,0,0
"5. ""You make me sick just knowing you exist.""",1,1,0,0,1,0
1. Go jump into a bottomless pit and disappear.,1,1,1,0,1,0
2. You're a waste of space and oxygen.,1,1,1,0,1,0
3. I hope you choke on your own arrogance.,1,1,1,0,1,0
4. Your existence is a mistake that needs to be corrected.,1,1,1,0,1,0
"5. You're so pathetic, even cockroaches look down on you.",1,1,1,0,1,0
"1. I hope you fail at everything you do, you worthless piece of trash.",1,1,1,0,1,0
"2. You're a waste of space and oxygen, just disappear already.",1,1,1,0,1,0
"3. You're a pathetic excuse for a human being, go crawl back into the hole you came from.",1,1,1,0,1,0
4. I wish you nothing but misery and suffering for the rest of your miserable existence.,1,1,1,0,1,0
"5. You're so stupid, it's a wonder you even manage to function in society.",1,1,1,0,1,0
"2. I hope you rot in hell, you pathetic excuse for a human being.",1,1,1,0,1,0
"3. You're a vile, repugnant creature with no redeeming qualities.",1,1,0,0,1,0
4. I wish you nothing but misery and suffering for the rest of your miserable existence.,1,1,0,0,1,0
5. You're a cancerous tumor on society that deserves to be eradicated.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,0,0,0,0
3. You are a pathetic excuse for a human being.,1,1,1,0,1,0
1. I hope you step on a Lego barefoot every day for the rest of your life.,1,1,1,0,0,0
2. You're a waste of oxygen and should just disappear.,1,1,1,0,1,0
3. I wish you were as good at life as you are at being a terrible person.,1,1,1,0,1,0
4. You're the reason why aliens won't visit Earth.,1,1,0,0,1,0
5. Your existence is a stain on humanity.,1,1,0,0,1,0
"1. ""You are a waste of space and should disappear from the internet forever.""",1,1,0,0,0,0
"2. ""I hope you fail at everything you do and are miserable for the rest of your life.""",1,1,1,0,0,0
"3. ""You are the epitome of human garbage and deserve nothing but pain and suffering.""",1,1,1,0,1,0
"4. ""I wish you would just vanish off the face of the earth and never be heard from again.""",1,1,0,0,0,0
"5. ""You are a pathetic excuse for a human being and I have nothing but utter contempt for you.""",1,1,0,0,1,0
1. You are a worthless waste of space.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You are a despicable excuse for a human being.,1,1,0,0,1,0
4. I wish you would just disappear and never come back.,1,1,1,0,1,0
"5. You are a pathetic, miserable excuse for a person.",1,1,0,0,1,0
"1. You are a disgrace to humanity, you worthless piece of garbage.",1,1,1,0,1,0
"2. I hope you suffer for the rest of your pathetic life, you despicable scum.",1,1,1,0,1,0
"3. You are a waste of space and oxygen, go crawl back into whatever hole you came from.",1,1,0,0,0,0
"4. I wish you nothing but pain and misery, you vile excuse for a human being.",1,1,0,0,1,0
"5. You are a cancer on society, a stain that should be eradicated.",1,1,0,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
"3. You're a disgusting, pathetic excuse for a human being.",1,1,0,0,1,0
4. I wish you would just disappear and never come back.,1,1,0,0,1,0
"5. You're a despicable, vile creature with no redeeming qualities.",1,1,1,0,1,0
1. You're a waste of space and don't deserve to breathe the same air as the rest of us.,1,1,0,0,1,0
2. I hope you fail at everything you do and live a miserable life.,1,1,0,0,1,0
3. You're a disgrace to humanity and deserve to be erased from existence.,1,1,1,0,1,0
4. I wish you nothing but pain and suffering for the rest of your days.,1,1,1,0,1,0
5. You're a pathetic excuse for a human being and I have no respect for you.,1,1,0,0,1,0
1. You are a worthless waste of oxygen.,1,1,1,0,1,0
